기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	용산구	이태원2동	323	184	139	149	81	68	27	19	8	40	23	17	43	19	24	1	-	1	25	13	12	2	1	1	8	4	4	15	12	3	2	2	-	4	3	1	4	4	-	-	-	-	2	2	-	1	1	-
2019	용산구	서빙고동	393	217	176	163	84	79	41	21	20	37	22	15	63	35	28	5	2	3	30	16	14	9	9	-	8	5	3	26	17	9	2	1	1	-	-	-	2	1	1	-	-	-	5	3	2	2	1	1
2019	용산구	보광동	599	318	281	270	136	134	47	23	24	82	45	37	81	37	44	4	3	1	28	17	11	4	4	-	22	12	10	32	20	12	3	2	1	4	3	1	10	8	2	1	1	-	11	7	4	-	-	-
2019	용산구	청파동	822	489	333	345	197	148	77	51	26	117	77	40	122	56	66	5	4	1	62	40	22	9	9	-	38	23	15	36	25	11	-	-	-	2	1	1	4	2	2	1	1	-	2	2	-	2	1	1
2019	용산구	원효로1동	466	270	196	206	112	94	42	28	14	66	43	23	64	39	25	7	3	4	24	14	10	8	6	2	18	7	11	20	10	10	-	-	-	3	3	-	5	4	1	-	-	-	3	1	2	-	-	-
2019	용산구	한강로동	496	302	194	234	138	96	46	26	20	74	51	23	69	42	27	5	3	2	19	12	7	8	7	1	16	8	8	16	11	5	2	1	1	1	1	-	3	1	2	-	-	-	2	1	1	1	-	1
2019	용산구	한남동	639	353	286	313	166	147	66	39	27	74	49	25	78	42	36	5	2	3	34	22	12	5	4	1	18	7	11	25	12	13	1	1	-	4	3	1	9	4	5	1	-	1	5	2	3	1	-	1
2019	성동구	소계	11,686	6,772	4,914	5,460	3,062	2,398	1,219	754	465	1,193	689	504	1,581	849	732	104	76	28	710	445	265	174	148	26	436	240	196	462	271	191	37	27	10	94	73	21	77	54	23	15	8	7	85	52	33	39	24	15
2019	성동구	왕십리2동	663	365	298	303	152	151	67	40	27	65	38	27	95	51	44	12	10	2	38	22	16	16	14	2	19	10	9	26	12	14	1	1	-	8	6	2	3	3	-	2	1	1	4	3	1	4	2	2
2019	성동구	마장동	1,089	654	435	540	315	225	119	75	44	96	59	37	129	71	58	9	6	3	72	44	28	26	25	1	38	20	18	36	20	16	4	4	-	4	3	1	6	5	1	3	2	1	3	2	1	4	3	1
2019	성동구	사근동	387	206	181	212	106	106	43	26	17	36	26	10	39	17	22	5	5	-	17	7	10	3	2	1	10	3	7	14	9	5	-	-	-	3	3	-	4	2	2	-	-	-	1	-	1	-	-	-
2019	성동구	행당1동	633	364	269	271	149	122	66	41	25	66	38	28	101	53	48	4	2	2	38	24	14	12	10	2	15	5	10	32	21	11	3	3	-	9	7	2	6	4	2	1	1	-	7	4	3	2	2	-
2019	성동구	행당2동	918	504	414	409	224	185	106	65	41	100	46	54	125	64	61	10	7	3	48	28	20	11	7	4	36	16	20	38	22	16	6	5	1	11	9	2	5	2	3	2	1	1	7	6	1	4	2	2
2019	성동구	응봉동	539	299	240	235	119	116	55	31	24	56	27	29	99	56	43	6	4	2	30	22	8	8	8	-	13	7	6	24	16	8	3	1	2	4	4	-	2	1	1	-	-	-	4	3	1	-	-	-
2019	성동구	금호1가동	644	358	286	298	160	138	76	45	31	66	38	28	76	36	40	4	2	2	40	23	17	8	7	1	22	12	10	31	21	10	3	3	-	5	2	3	4	3	1	-	-	-	8	4	4	3	2	1
2019	성동구	금호4가동	530	300	230	241	128	113	52	33	19	57	34	23	77	39	38	4	2	2	33	22	11	10	10	-	17	6	11	22	16	6	3	1	2	7	5	2	1	-	1	2	1	1	-	-	-	4	3	1
2019	성동구	성수1가1동	607	373	234	277	168	109	57	39	18	66	39	27	88	48	40	5	5	-	48	33	15	6	5	1	19	13	6	24	12	12	1	-	1	8	5	3	4	4	-	-	-	-	2	2	-	2	-	2
2019	성동구	성수1가2동	541	303	238	259	153	106	57	31	26	48	29	19	86	42	44	5	2	3	28	17	11	4	2	2	17	6	11	22	12	10	-	-	-	4	3	1	3	3	-	-	-	-	7	3	4	1	-	1
2019	성동구	성수2가1동	839	521	318	412	263	149	65	40	25	90	52	38	111	61	50	7	5	2	53	37	16	12	8	4	29	14	15	27	12	15	3	3	-	6	6	-	9	8	1	1	1	-	12	10	2	2	1	1
2019	성동구	성수2가3동	422	256	166	190	108	82	41	31	10	53	36	17	55	26	29	8	5	3	28	16	12	9	9	-	11	7	4	16	11	5	3	1	2	3	3	-	3	2	1	-	-	-	2	1	1	-	-	-
2019	성동구	송정동	539	325	214	261	151	110	48	29	19	53	30	23	66	44	22	4	4	-	43	29	14	5	4	1	18	8	10	27	18	9	1	-	1	4	4	-	2	1	1	-	-	-	4	2	2	3	1	2
2019	성동구	용답동	673	440	233	310	185	125	67	47	20	60	38	22	78	53	25	5	4	1	39	27	12	4	3	1	69	57	12	28	15	13	1	1	-	2	2	-	5	4	1	-	-	-	4	3	1	1	1	-
2019	성동구	왕십리도선동	993	573	420	426	233	193	122	74	48	126	77	49	132	76	56	12	10	2	61	35	26	17	15	2	46	23	23	28	16	12	2	1	1	4	4	-	3	2	1	2	-	2	7	3	4	5	4	1
2019	성동구	금호2.3가동	946	529	417	476	251	225	88	57	31	86	47	39	135	71	64	2	1	1	58	39	19	9	8	1	26	15	11	39	26	13	-	-	-	6	5	1	9	4	5	2	1	1	8	3	5	2	1	1
2019	성동구	옥수동	723	402	321	340	197	143	90	50	40	69	35	34	89	41	48	2	2	-	36	20	16	14	11	3	31	18	13	28	12	16	3	3	-	6	2	4	8	6	2	-	-	-	5	3	2	2	2	-
2019	광진구	소계	12,563	7,319	5,244	5,800	3,283	2,517	1,252	728	524	1,337	833	504	1,656	930	726	94	72	22	818	484	334	167	141	26	521	271	250	588	336	252	37	26	11	63	50	13	68	50	18	8	5	3	105	81	24	49	29	20
2019	광진구	화양동	536	308	228	262	132	130	53	25	28	71	48	23	70	48	22	4	2	2	24	15	9	8	8	-	14	8	6	18	13	5	1	1	-	3	3	-	2	-	2	-	-	-	6	5	1	-	-	-
2019	광진구	군자동	793	460	333	362	200	162	77	48	29	86	55	31	100	56	44	9	8	1	60	31	29	4	3	1	40	24	16	41	23	18	-	-	-	3	3	-	3	3	-	-	-	-	4	3	1	4	3	1
2019	광진구	중곡1동	693	394	299	324	181	143	59	32	27	65	39	26	90	54	36	8	5	3	43	25	18	7	6	1	47	26	21	32	16	16	3	2	1	6	5	1	2	-	2	1	-	1	4	2	2	2	1	1
2019	광진구	중곡2동	898	520	378	417	231	186	86	46	40	86	50	36	130	81	49	3	1	2	51	32	19	12	10	2	48	25	23	44	27	17	1	-	1	5	5	-	4	3	1	-	-	-	8	8	-	3	1	2
2019	광진구	중곡3동	760	462	298	367	208	159	60	36	24	78	54	24	93	56	37	8	7	1	51	32	19	9	8	1	38	24	14	38	23	15	5	3	2	2	2	-	5	5	-	1	1	-	3	2	1	2	1	1
2019	광진구	중곡4동	1,343	778	565	620	351	269	125	80	45	145	87	58	171	92	79	15	11	4	86	50	36	15	15	-	78	35	43	51	29	22	5	5	-	4	2	2	7	7	-	2	1	1	11	9	2	8	4	4
2019	광진구	능동	381	225	156	177	100	77	37	22	15	44	29	15	51	27	24	2	2	-	28	18	10	3	1	2	14	11	3	15	8	7	1	1	-	2	1	1	-	-	-	-	-	-	5	3	2	2	2	-
2019	광진구	구의1동	838	494	344	382	226	156	84	46	38	111	75	36	105	58	47	5	3	2	50	31	19	8	5	3	29	17	12	43	21	22	3	1	2	4	2	2	2	1	1	1	1	-	7	4	3	4	3	1
2019	광진구	구의2동	1,149	689	460	515	304	211	122	76	46	123	81	42	161	96	65	7	6	1	79	40	39	15	14	1	41	18	23	54	30	24	6	5	1	4	4	-	6	4	2	1	1	-	8	5	3	7	5	2
